"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_full",20,"Test",0.865642082666301,14.4810234773332,11.2271979549134,-0.426001511776233,9.42480942085013,NA,NA,0.207866059913988,0.2
"2","tslm_vars",20,"Test",0.360446130301717,14.969504287857,11.5971863119066,-0.833391324010296,9.82872350974562,NA,NA,0.157220704019114,0.2
"3","arima_sdif",20,"Test",2.75474680504886,15.0718626269437,11.600839693022,1.26610942385222,9.70571030254645,NA,NA,0.164223684995429,0.2
"4","tslm_base",20,"Test",2.88470111448836,16.0810457458885,12.0231678486998,1.24914953512237,10.0422951673598,NA,NA,0.152763116031339,0.2
"5","arima_plain",20,"Test",-2.49078928301193,17.8006652565515,14.9379918898644,-4.44867799372724,13.3568624992904,NA,NA,0.32193870104923,0.2
"6","naive",20,"Test",-4.3015873015873,18.1855515647529,15.031746031746,-6.0360022331046,13.6539012239346,NA,NA,0.319712539939241,0.2
"7","nn_vars",20,"Test",-2.85591589893213,18.4283432327858,14.5150310081948,-4.46925756156948,12.9624961577298,NA,NA,0.282828156521014,0.2
"8","drift",20,"Test",-5.972270032511,18.4397790234689,14.9008095875566,-7.46179574804702,13.7341910182087,NA,NA,0.297574737309609,0.2
"9","nn_base",20,"Test",-2.15448889864461,18.477915272404,15.0757032787619,-4.18745352137953,13.4472048971658,NA,NA,0.366204933755572,0.2
"10","snaive",20,"Test",-5.49206349206349,22.1043700340719,16.7619047619048,-5.68689807146192,14.6988141844381,NA,NA,0.195264074101699,0.2
"11","tslm_inter",20,"Test",2.1892013375993,23.2983625085307,19.0434840665341,1.10434004892725,16.6637604760129,NA,NA,0.168532219394096,0.2
